"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW"
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-08-05",,,"0.73",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-08-08",,,"1.40",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-08-09",,,"0.63",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-08-10",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-08-11",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-08-12",,,"0.97",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-08-13",,,"1.31",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-08-14",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-08-15",,,"0.41",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-08-16",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-08-17",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-08-18",,,"0.18",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-08-19",,,"0.13",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-08-20",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-08-21",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-08-22",,,"0.28",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-08-23",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-08-24",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-08-25",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-08-26",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-08-27",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-08-28",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-08-29",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-08-30",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-08-31",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-09-01",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-09-02",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-09-03",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-09-04",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-09-05",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-09-06",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-09-07",,,"1.30",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-09-08",,,"0.03",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-09-09",,,"0.09",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-09-10",,,"0.78",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-09-11",,,"1.02",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-09-12",,,"0.08",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-09-13",,,"0.09",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-09-14",,,"0.02",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-09-15",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-09-16",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-09-17",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-09-18",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-09-19",,,"0.76",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-09-20",,,"0.02",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-09-21",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-09-22",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-09-23",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-09-24",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-09-26","    2","2.93",,
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-09-27",,,"0.08",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-09-28",,,"1.30",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-09-29",,,"0.14",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-09-30",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-10-01",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-10-02",,,"0.02",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-10-03",,,"0.69",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-10-04",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-10-05",,,"0.03",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-10-06",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-10-07",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-10-08",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-10-09",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-10-10",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-10-11",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-10-12",,,"2.12",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-10-13",,,"0.03",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-10-14",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-10-15",,,"0.23",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-10-16",,,"0.03",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-10-17",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-10-18",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-10-19",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-10-20",,,"0.13",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-10-21",,,"0.01",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-10-22",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-10-23",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-10-24",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-10-25",,,"0.00",
